sample_id,defense,roi_accepted,smoothing_accepted,randomized_accepted,ensemble_votes,ensemble_accepted,accepted_after_attack,attack_success_after_defense,defense_success
vf_13d5d3fae321,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_1580f37c8bca,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_189241d1fe52,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_1a4a35393e20,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_1c39a9c85e88,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_1da9500923a0,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_1fe2e3fe83ec,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_2322685d98ee,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_23dba30d5fa4,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_256d41087135,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_26e61d74d27f,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_27aca419b7af,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_27cbdaa2d10a,ensemble_voting,True,False,False,"{""roi"": true, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_28b6df51a2aa,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_2930b537e255,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_2b57f4beca06,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_2b633530dc06,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_2bdece140a8f,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_2c466f39d332,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_2e9c27c13851,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_2f6130d35090,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_30e8c64b814c,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_3229b831cddf,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_32404cabc23c,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_34c04a49a43f,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_34d3aacf6835,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_369a060108c8,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_3bb8e110c38d,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_3c0c901eb282,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_3ea6819ccdfe,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_3f32d29a8cee,ensemble_voting,True,False,False,"{""roi"": true, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_3f651fc8ba9f,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_41614476c16e,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_41c6973c03e0,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_41d07a4257d6,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_42a4f8a1f5fe,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_4321f23cd7aa,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_44fcd2d6e120,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_45c024f9f2db,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_46e08db5e071,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_47f2fcecb685,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_48af2e6e91f3,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_498718c6771b,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_4a34c041687a,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_4e7e4e82c77e,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_5161d764390e,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_517bc045f993,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_5192e29fd3b4,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_527d834a90c9,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_52d06780daa5,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_53041ab01867,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_53873bf16646,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_53d46e8db10e,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_543c2289bc82,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_54c2d66704ac,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_55221d8a3d2e,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_55533266ecd5,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_5763c567fa7f,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_5820ea90f485,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_58246b8715b4,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_5a83e8acf964,ensemble_voting,True,False,False,"{""roi"": true, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_5a94edcabb77,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_5ac12474b323,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_5cd9fd7e47e8,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_5ceb016afb70,ensemble_voting,True,False,False,"{""roi"": true, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_5e27ff52cbc6,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_5e55848a9327,ensemble_voting,False,True,True,"{""roi"": false, ""smoothing"": true, ""randomized"": true}",True,True,True,False
vf_5eefde1bcecb,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_5f9215622b13,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_5fefae7baf11,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_6663921a6626,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_67de95f8645a,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_68193fc82496,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_69175dbfa8d3,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_6929e956eb55,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_69347058fea9,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_695ced84ba67,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_6a63f157f962,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_6b0e24ee0c42,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_6be53278bc7b,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_6de98ee3f79f,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_6e30a0127ed0,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_6ebbe2b8ba39,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_6f5a7ccd035b,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_7067569a1052,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_706e2b75254c,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_7115de04e344,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_72324ad0e227,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_7234807594c7,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_72be6e8889a8,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_75286422bc69,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_7652d6a8e675,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_7678ec274d7c,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_77929c8ec426,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_79a6a001672e,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_7adbcba2f659,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_7b46e66fb249,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_7d3bb72dda48,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_7dba6446a3fd,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_813b582996b0,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_81ae781b218a,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_87b25b3220a2,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_88daab4b79fc,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_8adc8a6b5049,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_8b68c1bd8551,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_8fd0ba6d5a59,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_922f98628366,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_93abc506fb23,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_959f46c9c7af,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_97fa354afcb4,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_9ace921f0225,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_9acfe905916e,ensemble_voting,False,True,False,"{""roi"": false, ""smoothing"": true, ""randomized"": false}",False,True,False,True
vf_9d4939f90db1,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_a034b22c4586,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_a067ba70aba2,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_a23252c49cc4,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_a282ca20f9db,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_a60b00595fd9,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_a68bec247b5f,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_a732bd6e8c7c,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_a8d0dc97dd40,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_a8e2b921c5b6,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_a96c278b9663,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_a979d26e1a66,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_aa28d8c1c38b,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_ab989c444985,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_ae41a277e9a0,ensemble_voting,True,False,False,"{""roi"": true, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_b17c86a3ea19,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_b2db9c409315,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_b2ec962e2326,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_b4ebef03d306,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_b5633cd5a05d,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_b5a935500105,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_b67eae4dddb8,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_b6ab7e6f8ead,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_b7984d7baebe,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_bbeaebe04885,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_bc1ed0750229,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_bc6f07cdfb64,ensemble_voting,True,True,True,"{""roi"": true, ""smoothing"": true, ""randomized"": true}",True,True,True,False
vf_be41f89ac067,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_c241d9ece98e,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_c3984b058a86,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_c4edf24d3517,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_c563ee357bd2,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_c5ad29a93239,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_c5bf893fcfcd,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_c81119d6f007,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_c881dcaacc5c,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_c99f6339f4b2,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_cc42d41730d5,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_d0571873a360,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_d10f9693dc4f,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_d12e13d84c24,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_d131f35b4897,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_d4a4986c9b43,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_d4a4df257b90,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_d5c09a946d99,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_d5f53c32936c,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_d5f84f559f80,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_d6917f1f0a42,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_d694167e9725,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_d6bbc36eb3a1,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_d78ccb964c5d,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_d8af3b18e907,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_da425b64a666,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_dbdb717f5df6,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_de0f6061f493,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_de3be2e27d53,ensemble_voting,True,False,False,"{""roi"": true, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_df4a6b5a2944,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_e107de7de7da,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_e220046b18ce,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_e22515667bcb,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_e275ab08155c,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_e4724842b3b3,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_e57b102395f1,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_e612aaf13640,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_e671675ac227,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_e7897ae417d0,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_ea54843f0264,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_eb469b686ce7,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_ec206adff666,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_ec311dd6967c,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_ed0789be4f11,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_f00d3e666fd4,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_f1d0486172a0,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_f26efc3bb6c7,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_f4ee66182b4f,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_f57c19c5dea3,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,False,False,False
vf_f6bada306d92,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_f81d7e10cf7e,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_f8cbca7fab7c,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_fac2e7818510,ensemble_voting,True,False,True,"{""roi"": true, ""smoothing"": false, ""randomized"": true}",True,True,True,False
vf_fb9fc409e7cd,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_fc3d91e52d0c,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
vf_fd2dc09a4922,ensemble_voting,False,False,False,"{""roi"": false, ""smoothing"": false, ""randomized"": false}",False,True,False,True
vf_fe96e4dc637f,ensemble_voting,False,False,True,"{""roi"": false, ""smoothing"": false, ""randomized"": true}",False,True,False,True
